PR18_aucs = [0.30952380952380953, 0.4047619047619048, 0.5833333333333334, 0.48809523809523814, 0.8333333333333333, 0.6666666666666667, 0.7023809523809523, 0.6025641025641026, 0.7051282051282052, 0.876923076923077]
PR17_aucs = [0.20238095238095238, 0.5119047619047619, 0.5952380952380952, 0.8571428571428572, 0.47619047619047616, 0.5357142857142857, 0.7023809523809524, 0.6794871794871795, 0.7435897435897435, 0.7846153846153847]
PR16_aucs = [0.26190476190476186, 0.380952380952381, 0.3571428571428571, 0.5952380952380952, 0.20238095238095238, 0.7857142857142857, 0.4642857142857143, 0.8205128205128206, 0.6538461538461539, 0.7230769230769231]
PR15_aucs = [0.6071428571428572, 0.5714285714285714, 0.4642857142857143, 0.7023809523809523, 0.5476190476190477, 0.7142857142857143, 0.7857142857142859, 0.6153846153846154, 0.6794871794871795, 0.7384615384615385]
PR14_aucs = [0.5000000000000001, 0.5952380952380952, 0.7023809523809524, 0.6190476190476191, 0.6547619047619049, 0.6309523809523809, 0.6428571428571429, 0.7435897435897436, 0.641025641025641, 0.8923076923076922]
PR13_aucs = [0.3928571428571429, 0.5238095238095238, 0.6904761904761905, 0.5952380952380952, 0.9285714285714286, 0.7619047619047619, 0.9166666666666667, 0.8974358974358975, 0.8717948717948718, 0.6615384615384615]
PR12_aucs = [0.7380952380952381, 0.8214285714285715, 0.6904761904761906, 0.5595238095238095, 0.5833333333333334, 0.9404761904761905, 0.8690476190476191, 0.5384615384615384, 0.8974358974358975, 0.8153846153846154]
PR11_aucs = [0.5714285714285714, 0.7023809523809523, 0.6071428571428572, 0.761904761904762, 0.5357142857142857, 0.6190476190476191, 0.7023809523809523, 0.6923076923076924, 0.9615384615384616, 0.8769230769230769]
PR10_aucs = [0.6785714285714286, 0.40476190476190477, 0.7261904761904762, 0.7261904761904763, 0.8928571428571429, 0.761904761904762, 0.7261904761904763, 0.8589743589743589, 0.8333333333333334, 0.6769230769230768]
PR9_aucs = [0.6785714285714286, 0.5833333333333334, 0.7857142857142858, 0.7261904761904762, 0.75, 0.7857142857142857, 0.8214285714285714, 0.7307692307692308, 0.8846153846153847, 0.7846153846153847]
PR8_aucs = [0.8690476190476193, 0.5714285714285714, 0.7976190476190477, 0.5595238095238095, 0.8095238095238095, 0.6785714285714286, 0.8095238095238096, 0.9871794871794872, 0.9615384615384617, 0.9384615384615385]
PR7_aucs = [0.8928571428571429, 0.6666666666666666, 0.75, 0.4880952380952381, 0.8690476190476191, 0.6904761904761906, 0.9047619047619048, 0.9358974358974359, 0.9358974358974359, 0.8769230769230769]
PR6_aucs = [0.40476190476190477, 0.6190476190476191, 0.6428571428571429, 0.7023809523809523, 0.8095238095238096, 0.5595238095238095, 0.8333333333333335, 0.6410256410256411, 0.858974358974359, 0.9692307692307693]
PR5_aucs = [0.7142857142857143, 0.75, 0.7619047619047619, 0.8571428571428571, 0.8928571428571429, 0.8571428571428572, 0.6785714285714286, 0.782051282051282, 0.8974358974358975, 0.9384615384615385]
PR4_aucs = [0.44047619047619047, 0.6428571428571429, 0.6785714285714286, 0.7619047619047621, 0.8095238095238095, 0.8690476190476191, 0.8571428571428572, 0.6538461538461537, 0.9102564102564104, 0.8461538461538461]
PR3_aucs = [0.5357142857142857, 0.6309523809523809, 0.8452380952380952, 0.8690476190476191, 0.892857142857143, 0.9523809523809524, 0.8214285714285715, 0.8717948717948718, 1.0, 0.8461538461538461]
PR2_aucs = [0.6309523809523809, 0.8452380952380952, 0.7142857142857143, 0.6785714285714286, 0.773809523809524, 0.8928571428571429, 0.9404761904761905, 0.858974358974359, 0.9743589743589745, 0.9230769230769231]
PR1_aucs = [0.6964285714285714, 0.9285714285714286, 0.9285714285714286, 0.7797619047619048, 0.8154761904761905, 0.7976190476190477, 0.9166666666666667, 0.9358974358974358, 0.8717948717948718, 0.9615384615384616]
